INAME	GENE	CHR	SIMR_UP2_190FR	SIMR_UP2_244
iEx057I		0	0.43	1.69
YLR089C		12	1.09	1.03
YHR166C	CDC23	8	2.55	0.35
YDR243C	PRP28	4	1.15	0.73
iOx086I		0	2.28	0.37
iKx163I		0	1.45	0.64
iGx240I		0	1.77	0.51
YDL226C	GCS1	4	1.07	1.11
YDR309C	GIC2	4	1.24	0.87
YNL255C	GIS2	14	1.3	0.63
iKx229I		0	0.92	0.86
iGx306I		0	0.38	2.11
YIL040W		9	0.82	0.76
iMx412I		0	0.33	2.44
YIL106W	MOB1	9	0.82	0.96
YML029W		13	1.33	0.89
iBx360I		0	0.54	1.42
iBx426I		0	1.47	0.52
iPx378I		0	0.29	2.21
iLx455I		0	0.57	1.51
iFx015I		0	0.49	1.54
YMR047C	NUP116	13	1.29	0.81
iPx044I		0	1.29	0.5
iLx121I		0	1.91	0.37
YIL107C	PFK26	9	0.92	0.8
YNR004W		14	0.78	1.27
iGx575I		0	0.99	0.9
iEx058I		0	1.23	0.71
iOx087I		0	1.5	
iGx241I		0	1.38	0.61
iGx307I		0	0.31	2.34
YIL041W		9	1.5	0.55
iMx413I		0	0.23	2.35
YNR005C		14	0.62	1.28
YOR230W	WTM1	15	2.01	0.42
iBx361I		0	1.56	0.52
iLx390I		0	1.38	0.55
iBx427I		0	0.9	1.16
YDL161W	ENT1	4	1.54	0.86
YIL042C		9	1.66	0.48
iPx379I		0	1.85	0.55
iLx456I		0	0.69	1.66
iFx016I		0	1.39	0.71
iDx610I		0	0.38	2.26
YHR167W		8	0.85	
YDR244W	PEX5	4	1.78	0.48
YNL190W		14	1.73	0.5
iPx045I		0	1.01	1.08
iLx122I		0	1.91	0.37
YNL256W	FOL1	14	1.27	0.77
iAx070I		0	0.33	2.74
YDL162C				0.52
iGx576I		0	1.58	0.62
iEx059I		0	1.54	0.56
iOx088I		0	1.79	0.52
iKx165I		0	1.31	0.54
iGx242I		0	1.02	1.02
YDL228C		4	0.72	1.18
YNL257C	SIP3	14	0.9	
YCR019W	MAK32	3	0.59	1.49
iGx308I		0	0.28	3.47
iMx414I		0	0.95	0.91
YMR048W		13	0.91	1.36
YIL108W		9	0.87	0.92
YOR231W	MKK1	15	1.86	0.46
iBx362I		0	1.92	0.34
iLx391I		0	1.68	0.53
iBx428I		0	1.93	0.41
YIL043C	CBR1	9	1.27	0.8
iLx457I		12	0.52	
iFx017I		0	1.81	0.44
iDx611I		0	0.28	3.03
YHR168W		8	2.06	0.38
YDR245W	MNN10	4	1.79	0.49
YNL191W		14	1.36	0.6
YMR049C		13	1.27	0.85
iPx046I		0	1.74	0.56
iLx123I		0	0.66	1.41
iHx200I		0	0.82	0.99
YIL109C	SEC24	9	0.85	1.02
iAx071I		0	0.59	1.48
YNR006W	VPS27	14	0.3	2.67
iGx577I		0	1.29	0.79
YAL043C-A		1	1.92	0.33
iOx089I		0	0.23	3.55
iKx166I		0	0.83	0.85
iGx243I		0	0.39	2.09
YNL258C		14	0.79	1.1
iGx309I		0	0.55	1.44
iMx415I		0	1.33	0.56
YNR007C	AUT1	14	0.27	3.33
YOR232W	MGE1	15	1.26	0.63
iBx363I		0	2.03	0.45
YDR180W	SCC2	4	0.59	
iLx392I		0	1.49	0.53
iBx429I		0	1.06	0.76
YDL163W		4	1.72	0.43
YIL044C		9	0.48	1.48
iLx458I				0.6
iFx018I		0	2.16	0.4
iDx612I		0	0.98	0.9
YHR169W	DBP8	8	2.05	0.39
YDR246W	TRS23	4	0.71	
YNL192W	CHS1	14	1.37	0.55
YDL229W	SSB1	4	1.16	0.63
YOL150C		15	0.93	0.87
iPx047I		0	0.23	3.23
iLx124I		0	1.43	0.61
iHx201I		0	1.17	0.66
YJL001W	PRE3	10	0.35	2.04
iAx072I		0	0.46	2.09
YDR181C	SAS4	4	0.5	
YDL164C	CDC9	4	1.46	0.55
iGx578I		0	0.35	2.46
iKx167I		0	0.36	2.93
iGx244I		0	1.28	0.54
iMx350I		0	0.4	
YNL259C	ATX1	14	0.4	1.7
YJL002C				2.22
iMx416I		0	0.74	1.54
YOR233W	KIN4	15	0.5	1.76
iBx364I		0	1.91	0.39
iBx030I		0	0.99	0.77
iLx393I		0	0.76	1.43
iLx459I		0	0.73	0.82
iFx019I		0	1.43	0.6
iDx613I		0	0.84	1.09
YDR247W		4	1.06	1.3
YNL193W		14	2.38	0.31
iPx048I		0	1.77	0.34
iLx125I		0	1.66	0.38
iHx202I		0	0.92	0.78
YOR234C	RPL33B	15	0.46	1.41
iAx073I		0	0.4	2.03
YNR008W	LRO1	14	0.53	2.11
iGx579I		0	1.55	0.69
YDR248C		4	0.68	1.64
YNL194C		14	2.03	0.42
iKx168I		0	1.19	0.72
iGx245I		0	1.46	0.48
iMx351I		0	1.67	0.65
YIL045W	PIG2	9	0.64	1.61
iMx417I		0	1.58	0.48
YOL151W	GRE2	15	1.11	0.64
iOx600I		0	1.13	1.05
iBx365I		0	0.81	1.07
iLx394I		0	0.95	
iBx031I		0	0.59	1.74
YDR182W	CDC1	4	0.81	0.84
YDL165W	CDC36	4	1.21	0.7
iLx060I		0	1.1	0.62
iDx614I		0	0.77	1.5
iPx049I		0	1.18	
iLx126I		0	1.82	0.35
iHx203I		0	0.34	3.73
YJR020W		10	1.24	1.03
YJL003W		10	0.27	2.14
iAx074I		0	0.48	2.2
YNR009W		14	0.27	2.73
iGx180I		0	1	1.15
YDL166C		4	1.72	0.63
YDR249C		4	0.92	1.55
YNL195C		14	2.07	0.35
iKx169I		0	1.93	0.51
iGx246I		0	0.34	3.25
YER140W		5	1.87	0.64
iMx352I		0	1.86	0.37
YJR021C	REC107	10	1.26	0.91
YIL046W	MET30	9	1.65	0.65
YJL004C	SYS1	10	0.21	3.51
iMx418I		0	1.64	0.47
YPL110C		16	0.9	0.94
iOx601I		0	1.4	0.6
YOR235W	SNR17A	15	1.66	0.38
iBx366I		0	0.62	1.52
iBx032I				1.14
iLx395I		0	1.62	0.48
YDR183W		4	0.41	1.37
iLx061I		0	1.48	0.62
YIL047C	SYG1	9	0.46	2.04
iDx615I		0	1.71	0.54
YOL153C		15	0.96	1
iLx127I		0	1.58	0.54
iHx204I		0	0.51	1.45
iNx310I		0	0.78	1.28
iAx075I		0	0.42	1.64
YDR184C	ATC1	4	0.78	0.93
iGx181I		0	0.58	1.54
YDL167C	NRP1	4	0.81	1.05
YNL196C	SLZ1	14	2.01	0.38
iGx247I		0	0.89	0.9
YER141W	COX15	5	0.93	1.65
iMx353I		0	1.61	0.49
YOR170W		15	0.43	2.11
iMx419I		0	1.55	0.46
iOx602I		0	0.89	1.25
YOR236W	DFR1	15	1.43	0.59
iBx367I		0	1.94	0.51
iLx396I		0	1.96	0.43
iDx550I		0	1.04	0.8
iBx033I		0	1.77	0.46
YER142C	MAG1	5	0.61	2.07
iLx062I		0	0.21	3.68
iDx616I		0	2.11	0.45
YOR171C	LCB4	15	0.74	1.15
iHx205I		8	0.55	1.59
iLx128I		0	1.28	0.7
iNx311I		0	1.45	0.59
YJR022W	LSM8	10	1.07	1.03
YJL005W	CYR1	10	0.36	
iAx076I		0	0.44	2.11
YDR185C		4	1.14	0.71
YPL111W	CAR1	16	0.82	1.33
iGx182I		0	0.57	1.79
YNL197C				0.56
iGx248I		0	1.16	0.95
iMx354I		0	0.99	0.81
YJR023C		10	0.68	0.93
YIL048W	NEO1	9	0.34	2.59
iMx020I		0	0.3	2.68
YJL006C	CTK2	10	0.88	0.87
YOL154W		15	1.19	0.76
YPL112C		16	1.36	0.71
iOx603I		15	0.73	1.52
YOR237W	HES1	15	1.49	0.54
iBx368I		0	1.88	0.46
YEL060C	PRB1	5	1.61	0.47
iBx034I		2	1.72	0.42
iLx397I		0	2.2	
iDx551I		0	1.8	0.64
YDL168W	SFA1	4	0.68	1.28
iLx063I		0	0.72	1.21
iHx140I		0	1.69	0.52
iDx617I		0	1.85	0.52
YOL155C		15	1.58	0.55
iHx206I		8	0.67	1.3
iLx129I		0	1.1	0.74
iNx312I		0	1.41	0.69
iAx077I		0	0.54	1.42
YDR186C		4	0.9	0.69
iGx183I		0	0.27	2.69
