NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YML084W			1.14	0.48	0.66	0.48	1.56
YHR019C	DED81		0.4	0.39	3.02	3.02	0.41
YMR167W	MLH1		1.17	1.07	1.06	1.2	0.99
YLR464W			2.05	1.84	0.75	0.73	1.59
YFL007W	BLM3		0.63	0.65	1.37	1.38	0.82
YNL108C			0.55	0.52	1.8	1.79	0.51
YPL036W	PMA2		0.89	0.87	1.31	1	0.95
YBL098W			0.9	0.79	1.23	1.26	0.58
YCR073C	SSK22		0.8	0.78	1.08	1	0.93
YPR119W	CLB2		0.6	0.56	1.76	1.52	0.66
YCL056C			0.98	1.14	1.1	0.86	1.24
YJL199C			1.32	1.41	0.64	0.69	1.77
YAL061W			5.5	6.92	0.18	0.23	4.98
YML085C	TUB1		1.01	1.01	1	1.03	0.99
YER067W			0.63	0.61	1.54	1.43	0.55
YMR168C	CEP3		1.03	0.97	1.27	1.2	1.08
YLR465C			1.58	1.3	0.96	0.79	1.45
YFR025C	HIS2		1.53	1.6	0.66	0.72	1.48
YBR102C	EXO84		0.91	1.1	1.01	0.85	0.96
