NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YLR407W			0.75	0.82	1.09	0.93	0.85
YJR093C	FIP1		1.16	1.29	0.82	0.85	
YPL182C			1.32	1.15	0.75	0.79	1.29
YDR241W			1.38	1.68	0.45	0.61	1.13
YMR045C			17.34	18.81	0.09	0.08	25.35
YAL004W			0.93	0.84	1.68	2.15	0.99
YPL248C	GAL4		1.75	1.91	0.56	0.64	1.35
YKR050W	TRK2		1.19		0.71		0.61
YIL105C			0.72	0.85	1.15	1.1	0.76
YKL033W			0.88	0.86	1.08	1	0.77
YDR307W			1.56	1.68	0.59	0.82	1.27
YNL253W			1.37	1.39	0.78	0.81	1.28
YLR408C			2.22	2.13	0.42	0.45	2.12
YOR039W	CKB2		1.15	0.88	0.94	1.09	0.9
YNL319W			0.96	0.82	1.03	1.02	0.7
YBR059C	AKL1		1.15	1.16	0.9	0.88	1.15
YHR165C	PRP8		0.84	0.76	1.37	1.36	0.64
YAL005C	SSA1		1.09	1.6	1.59	1.77	1.06
YJL076W	NET1		0.53	0.37	2.39	1.79	0.64
YDR308C	SRB7		1.02	1.1	1.11	1.11	1.17
YNL254C			2.84	1.99	0.43	0.71	1.8
YCR016W			0.73	0.61	1.59	1.36	0.8
YJR159W	SOR1		1.73		0.45		2.64
YLR342W	FKS1		0.67	0.58	1.93	1.37	0.73
YNR003C	RPC34		0.58	0.53	1.52	0.97	0.64
YMR300C	ADE4		0.11	0.1	9.3	6.02	0.17
YML028W	TSA1		2.01	2.03	0.87	1.12	1.84
YJR094C	IME1		0.67	0.33	1.94	2.04	
YJL077C	ICS3		1.08		0.81	0.72	1.35
YCR017C			1.35	1.43	0.76	0.8	1.1
YPL183C			0.59	0.39	2.78	2.46	0.45
YDR242W	AMD2		1.33	1.57	0.79	0.81	1.12
YLR088W	GAA1		0.9	0.78	1.15	1.23	0.75
YMR046C			23.48	23.94	0.09	0.08	27.89
YDL225W	SHS1		1.17	1.18	0.71	0.89	1.35
YPL249C			1.2	1.17	0.82	0.78	1.16
YKR051W			1.16	1.23	0.81	0.95	0.85
YKL034W			1.23	1.08	0.86	0.97	1.23
YGL111W			0.59	0.44	2.35	1.89	0.54
YLR409C			0.49	0.37	2.61	1.88	0.57
YDL160C	DHH1		0.4	0.53	2.04	1.2	0.6
YLR089C			0.7	0.57	1.95	2.79	0.46
YHR166C	CDC23		0.84	0.86	1.22	1.11	
YDR243C	PRP28		1.32		0.71		0.98
YAR023C			1.06	1.15	0.86	1	1.01
YDL226C	GCS1		0.79	0.76	1.13	1.25	0.73
YKR052C	MRS4		1.7	1.63	0.55	0.59	1.52
YDR309C	GIC2		0.63		1.92	1.15	0.72
YNL255C	GIS2		0.32	0.34	4.41	3.94	0.33
YGL112C	TAF60		0.65	0.6	1.64	1.42	0.63
YIL040W			1.05	1.05	1.01	1.18	1
YMR075C-A			1.18	1.22	0.77	0.79	0.95
YLR343W			1.3	1.63	0.54	0.49	1.31
YMR301C	ATM1		1.13	0.98	0.89	0.77	1.41
YIL106W	MOB1		1.24	1.14	0.83	0.77	1.49
YML029W			1.27	0.99	0.96	1.01	1.05
YJL078C	PRY3		0.39	0.26	3.66	3.06	0.39
YCR018C					0.68	0.7	1.16
YPL184C			1.12	0.93	1.2	0.9	1.15
YMR047C	NUP116		0.81	0.77	1.15	0.94	1.07
YIL107C	PFK26		2.71	3.03	0.37	0.45	2.43
YLR010C			1.07	1.28	0.78	0.68	1.26
YKL035W	UGP1		1.89	1.99	0.56	0.82	1.38
YNR004W			1.05	1.2	0.93	1.04	1.03
YJR095W	SFC1		0.61	0.37	2.31	1.66	0.45
YAL007C	ERP2		0.69	0.62	1.85	1.48	0.84
YKR053C	YSR3		1.26	1.78	0.66	0.56	
YGR130C			1.44	1.32	0.89	0.76	1.47
YKL036C			0.99	0.91	0.73	0.97	0.97
YIL041W			1.17	1.13	0.84	0.67	1.05
YLR344W	RPL26A		0.11	0.1	10.1	11.56	
YNR005C			0.91		0.88	0.84	1.1
YMR302C	PRP12		2.1	1.81	0.53	0.53	2.09
YOR230W	WTM1		2.64	2.23	0.42	0.55	2.19
YJL079C	PRY1		2.4		0.6	0.69	2.9
YDL161W	ENT1		0.93	0.91	1.07	1.06	1.12
YIL042C			1.62	2.32	0.69	0.68	1.57
YHR167W			1.19	0.87	0.87	0.96	1.23
YDR244W	PEX5		1.1		0.85	0.82	0.48
YNL190W			0.56	0.46	3.47	2.07	0.7
YGL113W			1.09	1.09	0.97	1.03	0.68
YNL256W	FOL1		0.34	0.37	3.24	2.22	0.43
YDL162C			0.74		1.11	1.07	0.81
YBR250W			0.77	0.8	1.05	0.98	0.92
YJR096W			6.83	11.43	0.13	0.17	6.37
YDL228C			0.18	0.16	8.43	7.98	0.2
YKR054C	DYN1		1.12		0.77	0.81	0.68
YNL257C	SIP3		1.16	1.05	0.95	1	0.91
YCR019W	MAK32		1.36	1.18	0.87	0.82	1.35
YPL185W			3.85	5.88	0.18	0.48	3.28
YMR048W			1.35	1.33	0.69	0.91	1.16
YLR345W			3.1	4.11	0.23	0.27	2.82
YMR303C	ADH2		0.83	1.37	1.22	1.02	1.49
YIL108W			1.33	1.29	0.82	0.69	1.55
YOR231W	MKK1		1.03	1.07	0.83	0.88	1.04
YLR011W			2.65	2.18	0.4	0.77	2.27
YLR280C			0.84	0.68	1.36	1.46	
YIL043C	CBR1		0.85	0.85	1.36	1.67	0.71
YHR168W			2.01	2.66	0.48	0.57	1.91
YDR245W	MNN10		0.83	0.61	1.49	1.57	0.7
YNL191W			0.54	0.5	1.84	1.37	0.58
YMR049C			0.25	0.29	3.67	2.89	0.36
YLR346C			3.97		0.18		5.76
YDR500C	RPL37B		0.26	0.14	4.31	5.62	0.22
YAL008W	FUN14		2.39	2.51	0.75	0.88	1.98
YGR131W			0.83		0.79		1.12
YIL109C	SEC24		0.83	0.75	1.38	1.15	1.05
YLR012C					0.68	0.7	1
YGL114W			3.18	3.25	0.29	0.33	4.62
YKL037W			0.77	0.65	1.31	1.35	0.62
YNR006W	VPS27		1.17	1.03	1.05	1	1.15
YAL043C-A			0.77	1.11	1.08	1.04	0.94
YBR251W	MRPS5		1.41	1.41	0.75	0.76	1.42
YJR097W			0.67		1.22		0.95
YGR132C	PHB1		1.79	1.75	0.63	0.62	1.53
YNL258C			0.92	0.83	1.1	1.2	0.85
YNR007C	AUT1		2.47	2.63	0.4	0.59	2.06
YOR232W	MGE1		0.76	0.79	1.52	1.38	0.89
YJR098C			1.11	1.29	0.73	0.68	0.78
YDR180W	SCC2		1.48	1.71	0.61	0.56	1.9
YLR281C			0.79		1.53	1.36	0.74
YDL163W			0.92	1.17	0.77		1.57
YIL044C			0.87	1	1.19	1.18	0.91
YHR169W	DBP8		1.08	0.94	1.2	0.83	1.05
YDR246W	TRS23		1.49	1.22	0.89	0.77	1.4
YNL192W	CHS1		0.97	0.86	1.14	0.88	1.08
YLR347C	KAP95		0.71	0.62	1.46	1.39	0.65
YDL229W	SSB1		0.34	0.29	3.47	2.89	0.31
YAL009W	SPO7		0.9	0.98	0.95	0.76	0.94
YOL150C			20.05	20.15	0.05	0.06	28.58
YKR055W	RHO4		1.26	2.63	0.5	0.57	
YGL115W	SNF4		1.05	1.07	0.98	1.22	0.96
YKL038W	RGT1		1.06		1.27	1.02	0.82
YJL001W	PRE3		1.34	1.34	0.75	0.67	1.79
YDR181C	SAS4		1.21	1.18	0.75	0.79	1.34
YDL164C	CDC9		0.78	0.87	1.04	0.95	0.96
YBR252W	DUT1		0.58	0.67	1.59	1.21	0.51
YNL259C	ATX1		2.05	2.11	0.5	0.58	1.67
YPL187W	MF(ALPHA)1		4.23		0.14		6.27
YJL002C	OST1		0.59	0.6	2.36	2.08	0.57
YDR501W	PLM2		0.83	0.81	1.17	1.03	0.68
YMR305C	SCW10		0.68	0.7	1.94	1.63	0.82
YLR013W							0.96
YOR233W	KIN4		0.72	0.69	1.49	0.96	0.9
YLR282C			0.92	1.15	0.79	0.88	0.92
YAR027W			4.22	2.63	0.25	0.32	3.74
YGL050W			0.9		1.07		0.9
YDR247W			1.09		1.2	1	0.77
YNL193W			0.8	0.9	1.25	1.08	0.86
YLR348C	DIC1		0.49	0.46	2.47	2.28	0.45
YDR502C	SAM2		0.47	0.39	2.33	2.56	0.44
YKR056W	RNC1		0.64	0.37	2.13	1.75	0.52
YGR133W	PEX4		1.11	1.36	0.74	0.77	1.26
YOR234C	RPL33B		0.12	0.12	6.43	5.19	0.17
YLR014C	PPR1		0.66	0.66	1.28	1.2	0.67
YGL116W	CDC20		1.45	1.53	0.6	0.61	2.04
YKL039W	PTM1		0.79	0.69	1.3	1.22	0.81
YNR008W	LRO1		0.72	0.73	1.36	1.33	0.79
YDR248C			1.17		0.94	0.95	0.67
YNL194C				1.64	0.51	0.79	1.1
YBR253W	SRB6		1.6	1.44	0.84	0.8	1.46
YJR099W	YUH1		1.45	1.4	0.81	0.8	1.5
YMR240C	CUS1		1.29		0.68	0.79	0.81
YIL045W	PIG2		1.17	1.19	0.95	0.96	0.87
YPL188W	POS5		1.59	1.36	0.66	0.76	1.51
YOL151W	GRE2		20.48	22.53	0.05	0.05	30.11
YBR254C	TRS20		0.92	0.75	1.05	0.79	1.13
YDR182W	CDC1		1.18	0.96	0.96	1.13	0.95
YDL165W	CDC36		1.3	1.26	0.93	1.06	1.05
YAR028W			2.57	2.49	0.37	0.49	2.58
YGL051W			2.78	2.82	0.35	0.46	2.71
YDR503C	LPP1		1.54	1.45	0.62	0.74	1.46
YKR057W	RPS21A		0.15	0.15	6.83	7.64	0.18
YGR134W			0.6	0.71	1.46	1.32	0.79
YGL117W			3.09	2.87	0.34	0.52	2.22
YJR020W			1.63	1.57	0.51		1.36
YJL003W			1.15	1.3	0.89	1	1.27
YNR009W			0.48	0.41	2.6	1.82	0.5
YMR306W	FKS3		1.53	1.88	0.68	0.7	1.56
YDL166C			0.94	0.75	1.04	0.98	1.05
YDR249C			0.87	0.81		1.53	0.63
YNL195C			2.24	2.55	0.45	0.69	1.73
YER140W			0.89	0.96	1.04	1.13	0.79
YLR283W			0.96	1.12	0.94	0.99	0.95
YGL118C			0.79		0.9	1.11	0.88
YJR021C	REC107		1.12	1.26	0.83	0.9	0.89
YIL046W	MET30		1.53	1.4	0.72	0.71	1.53
YPL189W			0.39	0.32	2.36	1.74	0.42
YJL004C	SYS1		0.96	1.08	0.99	1.16	0.96
YLR349W			0.82	0.41	2.08	1.95	0.41
YOL152W	FRE7		20.11	39.08	0.04	0.09	14.12
YPL110C			1.33	1.29	0.89	0.76	1.53
YOR235W	SNR17A		0.39		1.75	1.31	0.61
YLR015W			1.18	0.83	0.94	0.97	1.1
YDR183W			1.42	1.72	0.54	0.62	1.74
YLR284C	ECI1		1.41	1.53	0.7	0.88	1.26
YIL047C	SYG1		0.86	0.73	1.44	1.41	0.86
YAR029W			0.62		1.05		0.94
YGL052W			2.31	2.27	0.38	0.67	2.38
YDR504C			1.74	2.21	0.42	0.48	2.14
YOL153C			0.87	0.86	1.29	1.84	0.64
YHL010C			1.13		0.88	0.74	1.23
YKR058W	GLG1		1.42	1.42	0.78	0.88	1.09
YGR135W	PRE9		1.63	1.48	0.7	0.61	2.14
YLR016C			1.3	1.37	0.88	1.06	1.06
YMR241W	YHM2		1.19	1.39	0.73	1.35	0.75
YDR184C	ATC1		0.56	0.37	2.49	1.76	0.6
YDL167C	NRP1		0.56	0.49	2.04	1.62	0.57
YNL196C	SLZ1		1.13	1.42	0.67	0.73	1.15
YBR255W			1.59	1.45	0.63	0.6	1.67
YER141W	COX15		1.4	1.46	0.77	0.95	1.33
YMR242C	RPL20A		0.09	0.1	16.54	13.89	0.1
YOR170W			1.63	2.22	0.54	0.43	2
YMR308C	PSE1		0.51	0.41	2.62	2.48	0.48
YOR236W	DFR1		0.59	0.63	1.65	1.45	0.72
YBR256C	RIB5		2.67	2.59	0.39	0.39	3.45
YER142C	MAG1		2.77	3.41	0.32	0.3	3.53
YGR070W	ROM1		2.82	3.1	0.35	0.45	2.25
YOR171C	LCB4		1.65	1.42	0.76	0.75	1.54
YGL053W			4.33	4.04	0.27	0.36	3.89
YDR505C	PSP1		0.95	1.08	0.84	0.83	1
YHL011C	PRS3		0.29	0.3	4.08	3.78	0.28
YKR059W	TIF1		0.46	0.42	3.37	4.08	0.39
YGR136W			2.29	2.27	0.54	0.58	1.94
YGL119W	ABC1		0.88	0.72	1.15	1.18	0.88
YJR022W	LSM8		1.22	1.17	0.77	1.02	1.26
YJL005W	CYR1		1.12	1.01	1.04	1.06	0.38
YDR185C			1.23		0.74		1.27
YPL111W	CAR1		1.51		0.62	1.29	0.53
YBR190W			0.26	0.12	2.69	3.08	0.26
YGR071C			0.56	0.45	1.8	1.32	0.73
YNL197C	WHI3		0.56	0.5	2.07	1.69	0.59
YGL054C	ERV14		0.77	0.88	1.38	1.44	0.88
YLR285W			0.44	0.38	2.51	1.71	0.43
YMR243C	ZRC1		0.62	0.55	2.16	2.41	0.51
YJR023C			1.38	1.74	0.61	0.65	1.62
YIL048W	NEO1		0.82	0.71	1.52	1.47	0.74
YJL006C	CTK2		1.06	1.15	0.87	0.85	1.13
YOL154W			1.29	1.58	0.72	1.13	0.82
YMR309C	NIP1		0.26	0.21	4.31	3.08	0.33
YPL112C			1.09	0.94	1.09	1.26	0.84
YOR237W	HES1		0.8	1.06	1.64	1.48	0.63
YLR017W	MEU1		0.55	0.56	1.98	1.98	0.56
YER119C-A			0.56	0.77	1.42	1.37	0.64
YEL060C	PRB1		1.39	1.25	0.72	0.54	1.61
YLR286C	CTS1		0.08	0.08	16.27	9.54	0.12
YDL168W	SFA1		3.43	3.57	0.3	0.39	3.99
YDR506C			1.93		0.45	0.66	1.49
YOL155C			0.78	0.64	1.73	1.55	0.93
YGR137W			2.33	2.31	0.49	0.62	2.26
YLR018C			0.82	0.89	1.31	1.28	0.85
YDR186C			1.16	1.16	0.91	0.98	0.69
YBR191W	RPL21A		0.09	0.09	12.17	11.73	0.09
YDL169C	UGX2		4.08	4.1	0.3	0.33	3.79
YNL198C					0.98	0.94	0.79
YBR257W	POP4		1.25	1.18	0.88	0.81	1.58
YGR138C			1.04	0.97	1.21	0.54	2.2
YER143W	DDI1		1.65	1.77	0.56	0.46	2.22
YDR440W	DOT1		0.95	0.88	1.13	1.03	1.01
YJR024C			0.86	0.9	1.31	1.44	0.71
YIL049W	DFG10		1.59	1.97	0.49	0.58	2.02
YOR172W			0.68	0.41	1.7	0.97	0.62
YJL007C			1.39	1.76	0.59	0.68	1.51
YPR130C			0.87	0.9	1.26	1.11	1.07
YHL012W			0.81		0.8	0.84	0.95
YPL113C			0.95		0.96		
YOR238W			1.29	1.41	0.74	0.83	1.3
YBR258C			1.2	1.16	0.91	0.82	1.49
YEL061C	CIN8		1.26	1.33	0.76	0.77	0.9
YLR287C			0.84	0.92	1.09	0.95	1.08
YER144C	UBP5		1.2	0.95	1.07	0.92	1.27
YDR441C	APT2		1.68	1.9	0.57	0.57	1.55
YGR072W	UPF3		0.97	1.04	0.96	1.01	1.06
YHR030C	SLT2		1.12	0.63	1.4	1.43	0.49
YGL055W	OLE1		1.21	1.12	1.46	2.53	0.63
YDR507C	GIN4		0.8	0.68	1.37	1.42	0.71
YHL013C			0.65	0.65	1.41	1.18	0.75
YMR244W			1.09			0.86	0.65
YDR187C			0.91	0.73	1.2	1.16	0.84
YBR192W	RIM2		0.62	0.62	1.68	1.41	0.68
YGR073C			1.1	0.88	0.95	1.01	0.99
YNL199C	GCR2		0.96	0.77	1.24	1.36	0.78
YGL056C	SDS23		0.58	0.42	2.18	1.46	0.67
YOL090W	MSH2		1	0.88	1.13	1.09	0.96
YJR025C	BNA1		6.02	5.21	0.19	0.24	4.59
YOR173W			5.23	7.35	0.21	0.27	4.12
YJL008C	CCT8		0.63	0.66	1.67	1.44	0.74
YPR131C	NAT3		1.4	1.32	0.81	0.91	1.25
YOL156W	HXT11		0.77	0.79	1.54	1.38	0.68
YBR193C	MED8		1.85	1.73	0.72	0.98	1.41
YOR239W			0.66	0.59	1.62	1.59	0.55
YLR019W			1.07	0.83	1.19	1.3	0.84
YLR288C	MEC3		1.52	1.43	0.71	0.87	1.23
YER145C	FTR1		0.3	0.34	2.79	2.22	0.34
YHR031C	RTT104		1.66	2.34	0.46	0.44	
YDR508C	GNP1		0.59	0.53	1.95	1.97	0.52
YOL157C			0.71		0.82	0.8	0.86
YHL014C	YLF2		0.48		1.86	1.89	0.45
YGR139W			0.91		0.97	0.62	1.72
YNL120C			0.84	0.79	1.14	1.08	0.89
YMR245W			1.59	2.26	0.4	0.49	2.12
YPL114W			1.35	1.49	0.87	0.88	1.29
YGL057C			1.21	1.51	0.82	0.74	1.4
YMR180C	CTL1		2.19	2.33	0.47	0.52	2.65
YEL062W	NPR2		1.34	1.28	0.75	0.83	1.31
YBR259W			0.83	0.74	1.41	1.23	0.94
YFL020C	PAU5		1.22	1.55	1.07	1.09	1.01
YDR442W			0.92	0.8	1.18	1	0.88
YOL091W	SPO21		1.64		0.41	0.59	1.73
YOR174W	MED4		1.51	1.54	0.7		1.47
YPL115C	BEM3		0.7	0.53		1.42	0.64
YHR214W-A			0.39	0.25	4.57	3.43	0.42
YEL063C	CAN1		0.96	0.78	1.3	1.36	0.8
YDR188W	CCT6		0.81	0.68	1.56	1.37	0.91
YDR443C	SSN2		1.12	0.85	1.03		0.79
YGR074W	SMD1		0.8	0.79	1.37	1.53	0.68
YOR175C			0.78	0.77	1.5	1.7	0.64
YOL158C			0.58	0.49	1.89	1.64	0.56
YNL121C	TOM70		0.43	0.44	2.21	1.99	0.63
YJR026W				26.94	0.08	0.06	30.25
YMR246W	FAA4		0.54	0.46	2.47	3.23	0.41
YJL009W			0.59	0.66	1.69	1.24	0.85
YPR132W	RPS23B		0.16	0.16	7.99	8.56	0.18
YBR194W			1.4	1.53	0.63	0.61	1.71
YGR075C	PRP38		0.72	0.76	1.51	1.47	0.76
YER080W			1.83	1.7	0.65	0.59	2.04
YMR181C			3.43	4.77	0.28	0.35	2.83
YLR289W	GUF1		1.02	0.91	1.11	1	0.94
YER146W	LSM5		0.77	0.7	1.59	1.4	0.84
YOL092W			0.82	0.74	1.5	1.34	0.85
YMR247C			1.42	0.79	1.16	1.08	0.34
YPL050C	MNN9		0.68	0.63	1.68	1.67	0.6
YHR032W			1.13		0.99	0.85	0.51
YPR133C			0.38	0.34	3.62	2.79	0.45
YHL015W	RPS20		0.09	0.1	16.71	16.33	0.09
YDR509W			0.81	0.83	0.85	0.9	0.84
YBR195C	MSI1		1.35	1.11	0.93	0.86	1.22
YEL064C			1.02	1.13	0.84	0.97	0.75
YDR189W	SLY1		0.53	0.5	1.73	1.55	0.76
YER147C			1.17	1.12	0.81	0.83	1.31
YGL058W	RAD6		0.94	0.85	1.14	1.36	1.1
YOL159C			2.26		0.25		3.37
YHL016C	DUR3		1.13		0.98	1.09	0.93
YFL021W	GAT1		2.15	2.22	0.55	1.08	0.98
YNL122C			1.1	1.3	0.77	0.77	1.31
YJR027W				15.77	0.11	0.1	18.81
YLR210W	CLB4		0.85	0.85	1.14	0.94	1.01
YPL116W	HOS3		1.13	1.15	1.03	1	0.92
YGR076C	MRPL25		0.69	0.71	1.73	1.27	0.95
YER081W	SER3		0.11	0.1	13.16	5.06	0.19
YMR182C	RGM1		0.84	0.7	1.41	1.49	0.93
YFL022C	FRS2		0.4	0.43	2.6	2.43	0.48
YKL170W	MRPL38		0.98	0.94	1.08	0.87	1.2
YDR444W			0.51	0.37	2.91	2.52	0.5
YOL093W			0.7	0.62	1.56	1.49	0.76
YDR110W	FOB1		0.71	0.65	1.38	1.25	0.79
YOR176W	HEM15		0.93	0.95	1.06	1.02	0.87
YHR033W			0.84		1.34	0.66	0.51
YLR211C			0.91	0.8	1.29	1.07	1.09
YPL117C	IDI1		0.99	0.95	1.16	1.44	0.84
YBR196C	PGI1		0.85	0.8	1.55	1.89	0.85
YER082C			0.73	0.6	1.53	1.32	0.74
YDR445C			1.22	0.99	0.92		0.75
YOL094C	RFC4		0.88	0.9	1.02	1.05	1.08
YOR177C			1.62		0.5	0.52	
YHR034C			1.08	1.18	0.82	0.74	0.47
YDR111C			0.93	1.07	0.84	0.85	0.96
YGL059W			2.41	3.05	0.37	0.5	2.1
YFL018W-A			0.83	0.94	1.32	1.11	1.14
YJL200C			0.93	0.96	1.08	1.32	0.72
YJR028W				23.24	0.08	0.06	26.74
YPL051W	ARL3		1.53	1.43	0.75	0.84	1.6
YPR134W	MSS18		2.05	2.28	0.48	0.61	1.92
YCLX01W			0.79	0.86	1.4	0.98	0.99
YGR077C	PEX8		1.59	1.7	0.65	0.67	1.61
YMR183C	SSO2		1.23	1.07	0.93	1.02	1
YEL065W	SIT1		0.19	0.2	6.35	5.66	0.18
YBL100C			0.59	0.74	1.51	1.48	0.61
YER148W	SPT15		0.93	1.07	1.01	0.84	1.25
YKL171W			1.1	0.83	0.95	0.97	0.78
YLR212C	TUB4		1.16	1.29	0.82	0.74	1.62
YHL017W			0.68	0.72	1.42	1.53	0.7
YBR197C			1.91	2.08	0.65	0.35	1.75
YCLX02C			0.35	0.3	2.68	1.75	0.48
YNL123W			0.6	0.61	1.66	1.28	0.83
YER083C			1.54	1.31	0.73	0.84	1.39
YER149C	PEA2		0.99	0.91	0.97	0.88	1.21
YOL095C	HMI1		0.83		1.16	0.99	0.79
YOR178C	GAC1		1.16	1.23	1.04	1.06	1.07
YFR040W	SAP155		0.81	0.61	1.59	1.46	0.62
YFL023W			0.59	0.73	1.35	1.32	0.77
YJR029W			1.15	9.12	0.13	0.13	0.31
YPL052W			1.59	1.68	0.56	0.41	2.66
YPR135W	CTF4		1.03			0.76	0.36
YPL118W	MRP51		1.47	1.26	0.82	0.7	1.76
YGR078C	PAC10		0.43	0.52	2.46	1.34	0.58
YDR380W			3.33	5.86	0.5	1.83	0.72
YFR041C			1	1.04	1.02	0.84	1.47
YEL066W	HPA3		2.4	2.42	0.46	0.62	2.2
YER056C-A	RPL34A		0.11	0.11	12.88	11.17	0.12
YBL101C	ECM21		0.91	0.73	1	0.95	1
YFL024C	EPL1		1.23		0.77	0.84	0.47
YDR446W	ECM11		1.04	1.01	1.3	1.13	0.67
YKL172W	EBP2		0.55	0.41	2.21	1.52	0.68
YPL053C	KTR6		0.91	0.93	1.06	1	1.05
YDR112W			0.79	0.94	0.81	1.05	0.86
YHR035W			0.87	0.25	4.36	3.41	0.51
YPR136C			0.92	0.52	1.27	1.22	0.43
YLR213C	CRR1		3.52	4.16	0.32	0.29	4.1
YHL018W			1.02		0.79	0.88	0.95
YCRX20C			0.68	0.54	1.09	0.88	0.92
YPL119C	DBP1		0.77	0.73	1.2	1.15	0.78
YCLX03C			1.13		0.59	0.73	1.22
YBR198C	TAF90		0.61	0.52	2.21	1.31	0.75
YJL201W	ECM25		0.8	0.71	1.36	1.25	0.85
YNL124W			0.59	0.47	2.01	1.56	0.58
YEL067C			1.46	1.82	0.59	0.74	1.18
YDR447C	RPS17B		0.13	0.13	7.37	7.89	0.16
YOL096C	COQ3		1.99	2.2	0.48	0.61	1.54
YOR179C			1.17	1.11	0.76	0.87	1.08
YDR113C	PDS1		0.93		0.94		0.76
YMR184W			1.48	1.51	0.74	0.76	1.6
YHL019C	APM2		0.78	0.85	1.18	1.24	0.94
YPR070W	MED1		0.83	0.78	1.05	1.15	0.77
YNL125C	ESBP6		1.61	1.48	0.82	1.09	1.16
YJL202C			1.55	1.24	0.73	0.68	1.43
YCR090C			1.03	0.94	1.05	1.07	1.03
YCL073C			0.81	0.86	1.13	1.45	0.88
YER084W			1.12		1.04	1.14	
YDR381W	YRA1		0.7	0.69	1.68	1.63	0.68
YFL025C	BST1		1.08	1.06	0.92	0.9	1.1
YGL250W			1.24	1.29	0.74	0.99	1.03
YDL030W	PRP9		0.98	1.17	0.86	0.98	0.94
YKL173W	SNU114		0.96	1	0.9	0.92	0.89
YHR036W			1.08	1.02	0.76	1.05	0.5
YHR001W-A	QCR10		1.43	1.74	0.63	0.91	1.51
YCRX21C			34.35	28.95	0.07	0.05	48.39
YOR100C	CRC1		0.61	0.72	1.52	1.26	0.62
YEL068C			0.76	0.83	1.23	1.13	0.8
YOL097C	WRS1		0.3	0.3	3.82	3.33	0.3
YKL174C			1.66	1.61	0.6	0.76	1.4
YGL251C	HFM1		1.4	1.52	0.71	0.8	1.18
YGR079W			0.53	0.6	1.68	1.22	0.87
YDR114C			0.79	1.07	0.87	0.83	0.9
YFR042W			1.33	1.65	0.55	0.56	0.81
YMR185W			1.3	1.2	0.8	0.69	1.34
YBL102W	SFT2		3.93	3.29	0.31	0.36	3.36
YPR071W			0.61	0.65	1.36		0.57
YPL054W	LEE1		2.9	2.22	0.41	0.44	3.52
YPR137W	RRP9		1.25		0.87	0.97	
YLR214W	FRE1		7.04	6.07	0.17	0.32	4.72
YCLX04W			0.71	0.7	1.23	0.75	1.26
YBR199W	KTR4		1.43	1.37	0.76	1.01	1.08
YDR382W	RPP2B		0.12	0.13	11.9	10.65	0.14
YBR120C				1.25			
YFR043C			1.36	1.39	0.68	0.76	1.6
YBL103C	RTG3		0.85	0.68	0.99	0.93	0.86
YDR448W	ADA2		1	0.78	1.22	1.19	0.83
YDL031W	DBP10		0.81	0.83	1.28	0.99	0.89
YPL055C			0.65	0.59	1.48	1.25	0.72
YHR037W	PUT2		1.21	1.05	0.94	0.93	1.03
YPR138C	MEP3		2.59	2.37	0.48	1	1.17
YLR215C			1.1	1.33	0.94	0.88	1.33
YCLX05C			1.1	0.84	0.98	1.15	1.04
YJL203W				1.23	0.67	0.72	1.28
YNL126W	SPC98		0.8	0.75	1.19	1.19	0.78
YDR383C			1.02	1.52	0.84	0.96	1.22
YCR091W	KIN82		1.32	1.37	0.67	0.84	1.12
YEL069C	HXT13		1.07	0.97	1	1.02	0.97
YCL074W			0.85				0.44
YDR449C			0.42	0.39	2.13	1.58	0.54
YOL098C			0.48	0.39	2.97	1.97	0.62
YGL252C	RTG2		1.18	1.22	0.81	0.7	1.42
YMR186W	HSC82		1.79	1.58	0.74	0.99	1.28
YGR001C			0.63	0.65	1.52	1.75	0.61
YFL026W	STE2		22.08		0.05	0.1	25.83
YPR072W	NOT5		0.85	0.9	1.19	1.15	0.95
YJL204C			0.51	0.32	2.43	2.27	0.38
YIL015C-A			0.87	1.33	1.22	1.15	1.17
YCR092C	MSH3		1.25	1.01	0.82		1.14
YOR101W	RAS1		0.91	0.86	1.15	1	1.07
YER086W	ILV1		0.66	0.42	2.54	2.38	0.46
YMR187C			1.32	1.35	0.7		1.15
YFR044C			0.91	0.88	1.27	1.55	0.9
YBR121C	GRS1		0.33	0.37	3.4	3.16	0.37
YBL104C			1.07	0.99	0.88	0.86	1.05
YFL027C			1.49	1.69	0.59	0.58	1.66
YPR073C	LTP1		1.18	1.47	0.87	1.14	1.21
YOR370C	MRS6		1.07		0.97	0.91	0.8
YDL032W			0.76	0.78	1.18	1.06	1
YKL175W			4.11	3.78	0.27	0.41	3.07
YPL056C			1.18	1.02	1.22	1.14	
YDR115W			0.97	0.89	1.49	1.18	1.24
YHR038W	FIL1		1.24	1.02	0.8	0.74	1.33
YPR139C			0.81	0.84	1.33	1.47	0.79
YNL061W	NOP2		0.32	0.36	3.54	2.16	0.44
YLR216C	CPR6		2.18	2.12	0.38	0.42	2.04
YCLX06C			1.05	0.85	1.24	1.28	0.96
YNL127W			1.14	1.07	0.96	0.98	1.28
YDR384C			0.19		4.33	2.4	0.26
YDR050C	TPI1		0.94	0.97	1.96	2.29	1.02
YCL075W			0.82		0.89	0.73	0.81
